h3_cell,total_crimes_in_cell,violent_crimes_in_cell,cell_violent_rate,neighbour_avg_crimes
882664c13dfffff,383,57.0,0.14882506527415143,408.5
882664c145fffff,229,52.0,0.22707423580786026,413.1666666666667
882664c147fffff,62,12.0,0.1935483870967742,392.8333333333333
882664c14dfffff,34,9.0,0.2647058823529412,121.33333333333333
882664c161fffff,834,234.0,0.2805755395683453,624.8333333333334
882664c163fffff,868,169.0,0.19470046082949308,730.1666666666666
882664c165fffff,242,39.0,0.16115702479338842,362.5
882664c167fffff,458,68.0,0.14847161572052403,442.8333333333333
882664c169fffff,752,195.0,0.25930851063829785,659.1666666666666
882664c16bfffff,1210,285.0,0.23553719008264462,604.1666666666666
882664c16dfffff,219,39.0,0.1780821917808219,588.8333333333334
882664c185fffff,142,24.0,0.16901408450704225,1124.5
882664c187fffff,5,1.0,0.2,302.6666666666667
882664c18dfffff,53,21.0,0.39622641509433965,416.0
882664c1a1fffff,818,167.0,0.2041564792176039,1395.6666666666667
882664c1a3fffff,1191,315.0,0.26448362720403024,692.0
882664c1a5fffff,581,126.0,0.21686746987951808,762.6666666666666
882664c1a7fffff,787,184.0,0.2337992376111817,566.8333333333334
882664c1a9fffff,3807,809.0,0.21250328342526925,1154.1666666666667
882664c1abfffff,1133,275.0,0.24271844660194175,1073.8333333333333
882664c1adfffff,875,184.0,0.2102857142857143,1563.6666666666667
882664c1b1fffff,48,16.0,0.3333333333333333,345.8333333333333
882664c1b3fffff,12,4.0,0.3333333333333333,198.0
882664c1b5fffff,757,161.0,0.21268163804491413,556.0
882664c1b7fffff,765,196.0,0.25620915032679736,392.3333333333333
882664c1b9fffff,61,13.0,0.21311475409836064,88.83333333333333
882664c1bdfffff,480,114.0,0.2375,532.5
882664c1c7fffff,20,4.0,0.2,106.33333333333333
882664c1e1fffff,3256,694.0,0.21314496314496315,1187.5
882664c1e3fffff,1749,367.0,0.20983419096626643,1675.1666666666667
882664c1e5fffff,920,205.0,0.22282608695652173,1421.0
882664c1e7fffff,2208,556.0,0.25181159420289856,1870.6666666666667
882664c1e9fffff,325,60.0,0.18461538461538463,889.3333333333334
882664c1ebfffff,585,128.0,0.2188034188034188,900.5
882664c1edfffff,1338,322.0,0.2406576980568012,1038.3333333333333
882664c801fffff,719,252.0,0.35048678720445064,504.6666666666667
882664c803fffff,801,344.0,0.42946317103620474,741.1666666666666
882664c805fffff,137,49.0,0.35766423357664234,255.5
882664c807fffff,331,98.0,0.29607250755287007,441.1666666666667
882664c809fffff,543,213.0,0.39226519337016574,616.6666666666666
882664c80bfffff,733,285.0,0.3888130968622101,599.5
882664c80dfffff,483,179.0,0.37060041407867494,408.1666666666667
882664c811fffff,937,345.0,0.368196371398079,666.3333333333334
882664c813fffff,447,160.0,0.3579418344519016,548.8333333333334
